Cervical_FaseInicialFilter,Cervical_FaseFinalFilter
0.003549629,0.003136474
-0.0005025,0.030513583
0.005654088,0.053904597
-0.001361989,0.064981137
-0.014037555,0.06458421
-0.015733616,0.034784526
-0.023000302,-0.005982996
-0.025975152,-0.024246119
-0.010502662,-0.029712376
-0.003665547,-0.034095972
-0.007017549,-0.031342555
0.002190195,-0.014786892
0.012991877,0.002038767
0.01803128,-0.009526764
0.027095759,-0.028027658
0.026382183,-0.02175761
0.013375063,-0.018404167
0.009682249,-0.022867018
0.003918023,-0.007156179
-0.014042243,0.015501286
-0.019865981,0.026744622
-0.017892561,0.026160244
-0.018112309,0.016277821
-0.002670663,0.01500411
0.011089155,0.024878223
0.003161929,0.027390801
-0.000983787,0.024915452
0.002297962,0.024116977
0.000369918,0.017731445
0.006518556,0.010206495
0.014555807,0.008720008
0.007715053,0.004028927
-0.002235419,-0.008098054
-0.011233285,-0.019780975
-0.019634402,-0.027175175
-0.011244854,-0.030982586
0.001709406,-0.034082513
-0.002166429,-0.035166372
-0.002674273,-0.029206684
0.007291372,-0.024511728
0.006248163,-0.02668356
0.00359599,-0.023421392
0.007963504,-0.011386688
0.001707801,0.000453178
-0.007117589,0.007602271
-0.004207178,0.014767139
0.000311863,0.028865576
0.004895164,0.037940253
0.010412594,0.032080545
0.009479951,0.025137041
0.002894198,0.019708732
-0.007549601,0.013319578
-0.012378992,0.013704416
-0.002690942,0.011736232
0.005672746,0.002105634
0.004687499,-0.002358286
0.001585643,-0.002164354
-0.006691631,-0.007185022
-0.012552506,-0.013009881
-0.00640778,-0.003551797
-0.000833569,0.01189534
0.001898657,0.006532435
0.010766826,-0.004198405
0.015599231,-0.004183273
0.009465837,-0.011601913
0.004098242,-0.013491377
0.002126075,-0.000401508
-0.001411242,-0.001781966
-0.002559576,-0.009806825
-0.00216877,-0.003152581
-0.006300829,-0.004362555
-0.013891639,-0.025468284
-0.022301237,-0.04079752
-0.026534521,-0.032838438
-0.020861938,-0.016266783
-0.008331221,-0.005366657
0.005300253,0.008580032
0.015648551,0.022132413
0.019755491,0.023487018
0.019016299,0.027238813
0.015363515,0.036691463
0.013914301,0.034124533
0.018044854,0.024384459
0.015743805,0.013158624
0.001217564,-0.001390616
-0.006914753,-0.006164788
-0.001197458,-0.006054717
0.002302294,-0.013195516
0.002969204,-0.016164802
0.009328159,-0.015902597
0.009629585,-0.016207112
-0.000954112,-0.004867272
-0.011787566,0.007011479
-0.022596076,0.002467463
-0.03086152,-0.004238435
-0.030772662,-0.001452596
-0.026160781,-0.000363135
-0.01622887,-0.003772496
-0.006166856,-0.001541476
-0.005298033,0.004048471
0.001198116,0.003139574
0.01941868,-0.003690365
0.026941971,-0.007666484
0.021669229,-0.007055796
0.021362009,-0.00827496
0.021485973,-0.004391074
0.010443201,0.008175389
-0.003561912,0.010675355
-0.010424908,0.002109791
-0.008906406,-0.003364384
-0.002521667,-0.00309326
-0.000500173,0.00799788
0.000228428,0.017745377
0.007886092,0.009476523
0.009664607,0.004378404
0.002301079,0.01061997
0.001594547,0.008692826
0.00399152,0.003980767
0.000229839,0.003583263
-0.003395896,-0.001992538
-0.004506006,-0.008642533
-0.007630012,-0.007961574
-0.01117744,-0.005333358
-0.011455777,-0.007157313
-0.014563047,-0.007825107
-0.018357455,-0.004654602
-0.006643016,-0.007434864
0.005793906,-0.012323357
-0.000658145,-0.011147725
-0.001300506,-0.013427173
0.007954161,-0.013656927
0.003655134,-0.001989215
0.001029969,0.003078086
0.012390188,-0.002789238
0.016387679,-0.001149489
0.004683004,0.008852832
-0.009259736,0.017106393
-0.007547852,0.015159792
0.00941689,0.005046506
0.018380001,0.008238977
0.01157069,0.024419396
0.00249611,0.022527391
-0.002120752,0.00362498
-0.00501091,-0.005931604
-0.008124869,-0.008370105
-0.008854499,-0.008569633
-0.007830044,0.000490881
-0.007525543,0.00450356
-0.001700644,-0.003402775
0.005213641,-0.004821361
0.001040516,-0.000431931
0.000497575,-0.000318236
0.013210329,0.000798408
0.014858077,0.000263078
4.02E-05,-0.003934872
-0.010211218,-0.005163567
-0.012237271,-0.012810966
-0.009456559,-0.026234671
-0.003626153,-0.024640862
-0.006671824,-0.01110951
-0.01298546,0.004495948
-0.005681263,0.022063769
0.002031643,0.026215454
-0.000931117,0.015916489
-0.000252235,0.006573371
0.003548417,-0.003576705
0.003981526,-0.009642251
0.007283249,-0.008750373
0.0111549,-0.011082138
0.012865485,-0.00424146
0.013290427,0.010634789
0.008740271,0.009022995
0.006299843,0.002471347
0.009469161,0.003658892
0.00656991,0.000677703
0.000445181,0.001100382
0.000458214,0.007446621
-0.001593435,0.007126453
-0.008041127,0.004992911
-0.011351247,-0.00025078
-0.01718723,-0.009729288
-0.023892428,-0.0064848
-0.01845705,8.64E-05
-0.009456191,-0.006274445
-0.008331762,-0.007969947
-0.008412338,0.000809407
-0.005636613,0.007994146
-0.001595751,0.011166319
0.003078252,0.004267314
0.012863054,-0.003796713
0.027619681,0.002807729
0.028703169,0.005024674
0.013971646,-0.005638509
0.0052539,-0.00885469
0.002934069,-0.008760554
-0.001783088,-0.011997192
-0.000671619,-0.008916284
0.007402343,-0.008926965
0.007484803,-0.013944376
-0.004803751,-0.005829802
-0.011841767,0.007327157
-0.009828587,0.011180829
-0.01478709,0.014132349
-0.01675639,0.014680274
-0.005588268,0.009576272
-0.00204842,0.009875561
-0.004386257,0.008645735
0.003793313,-0.004026633
0.008226061,-0.011628186
0.001961287,-0.001577876
0.005273874,0.013692478
0.025106238,0.014705852
0.038525491,0.001896695
0.022076689,-0.00709986
-0.011743998,-0.00936418
-0.032964605,-0.010405848
-0.039384669,-0.008272239
-0.043292244,-0.006622376
-0.037562833,-0.006470468
-0.015672477,-0.002527188
0.001845784,0.002445825
0.004051499,0.006536009
0.014016991,0.007703476
0.034896536,0.000806299
0.038456994,-0.00262488
0.028805742,0.006558051
0.030679492,0.009874678
0.028447891,0.000929696
0.006158315,-0.001256249
-0.005135793,-0.001575579
0.00775387,-0.017235265
0.01478318,-0.028408896
0.006826422,-0.018819227
-0.005450458,-0.012097029
-0.02221561,-0.011080927
-0.034183142,0.004996806
-0.03124259,0.020718839
-0.024403119,0.020582833
-0.02297843,0.020470345
-0.023769546,0.020286385
-0.026151276,0.014256
-0.033358313,0.011224332
-0.037866285,0.006003192
-0.023295978,-0.00064197
0.003475809,0.003765993
0.020747594,0.005923055
0.031902488,-0.002361982
0.044539505,-0.005817426
0.050844922,-0.008627597
0.046046856,-0.016019552
0.029721956,-0.014520491
0.019300443,-0.010804916
0.032309012,-0.014004791
0.040892592,-0.011128452
0.026302301,-0.004567269
0.014893125,-0.005536157
0.006515789,-0.005728357
-0.017524785,0.000150131
-0.041285201,0.00471888
-0.051557576,0.005193015
-0.054872033,0.004049103
-0.052041214,0.001923492
-0.045282345,0.000818922
-0.035551789,0.003083948
-0.020997459,0.004186662
-0.009947834,0.008299343
-0.004740723,0.023589946
0.001878327,0.028275733
0.012528427,0.012257717
0.026414332,0.004393692
0.034163473,0.002481111
0.030482083,-0.009300733
0.026525308,-0.012307052
0.026046057,-0.008288314
0.023623239,-0.01164595
0.013532229,-0.011701939
-0.00236959,-0.009062975
0.002516707,-0.009156902
0.028321591,-0.007024749
0.027409449,-0.006683719
-0.000553485,-0.008001493
-0.014717425,-0.007523576
-0.024454254,-0.006457082
-0.042967418,0.000592098
-0.046016952,0.011224526
-0.038018061,0.017345959
-0.033310404,0.017929299
-0.016940402,0.010704705
0.002940536,0.005346652
0.014032436,0.007768737
0.034721522,0.001974947
0.053726526,-0.005070837
0.046688588,-0.003666979
0.02659934,-0.010873127
0.004361662,-0.009131049
-0.005086637,0.015267701
0.017161105,0.018754175
0.031267975,-0.000952962
0.002207725,-0.004055728
-0.034542091,-0.001133106
-0.05320422,-0.009923488
-0.056183456,-0.015538556
-0.048356442,-0.014641626
-0.045697665,-0.01471785
-0.037720863,-0.011825534
-0.014653259,-0.002158826
-0.00056527,0.006109323
0.012704934,0.004200774
0.038508872,-0.001114356
0.053294927,0.002287779
0.053257313,0.010238645
0.047377646,0.013138398
0.038155519,0.017605967
0.032914856,0.021403862
0.023873443,0.007088398
0.010795335,-0.006967957
0.006283594,0.002150718
-0.000595922,0.007605225
-0.01324781,-0.000709012
-0.017322946,-0.002081689
-0.019407432,-0.004107679
-0.027940446,-0.0108228
-0.036300049,-0.010175469
-0.041869927,-0.009399498
-0.039747793,-0.011701378
-0.030601483,-0.009837243
-0.032114932,-0.005286783
-0.037884132,0.002034372
-0.024162268,0.008861741
-0.004299392,0.004811221
0.006092528,-0.007992387
0.019830448,-0.014917123
0.034063892,-0.006955335
0.041013625,0.008393372
0.048072158,0.017355735
0.049937751,0.016562445
0.044363212,0.008598966
0.039502716,-0.001227307
0.028220553,-0.00625016
0.014336218,-0.007196382
0.013137463,-0.002523165
0.008830235,0.008894562
-0.014273875,0.015090942
-0.03640499,0.008237282
-0.042942417,-0.005689985
-0.042968535,-0.014084188
-0.038449679,-0.012559602
-0.026118155,-0.011164403
